SOC_code,Job_title,Standard_going_rate_annual,Lower_going_rate_annual
3313,Watch managers,42100.0,37600
3313,Fire service officers (watch manager and below) not elsewhere classified,42100.0,37600
3314,Operational support grades,38800.0,31600
3314,Prison officers,38800.0,31600
3314,Prison service officers (below principal officer) not elsewhere classified,38800.0,31600
3319,Coastguard,41100.0,33200
3319,Customs and border control officers,41100.0,33200
3319,Fraud investigators (excludes benefit fraud),41100.0,33200
3319,Immigration officers,41100.0,33200
3319,Private investigators,41100.0,33200
3319,Security consultants and managers (excludes cyber security),41100.0,33200
3319,Protective service associate professionals not elsewhere classified,41100.0,33200
3411,Art technicians (excludes education),38200.0,26600
3411,Drawing and painting artists,38200.0,26600
3411,Hand drawn animators,38200.0,26600
3411,Illustrators (excludes medical and scientific),38200.0,26600
3411,Medical and scientific illustrators,38200.0,26600
3411,Picture restorers,38200.0,26600
3411,Sculptors,38200.0,26600
3411,Tattoo and henna artists,38200.0,26600
3411,Artists not elsewhere classified,38200.0,26600
3412,Authors,36100.0,29800
3412,Bloggers,36100.0,29800
3412,Copywriters,36100.0,29800
3412,Literary editors,36100.0,29800
3412,Poets,36100.0,29800
3412,Script writers,36100.0,29800
3412,Technical writers (excludes computing),36100.0,29800
3412,Translators and interpreters,36100.0,29800
3412,"Authors, writers and translators not elsewhere classified",36100.0,29800
3413,Actors,33400.0,25000
3413,"Broadcasters, podcasters and presenters",33400.0,25000
3413,Children’s entertainers,33400.0,25000
3413,Comedians,33400.0,25000
3413,Disc jockeys,33400.0,25000
3413,Magicians,33400.0,25000
3413,Models,33400.0,25000
3413,Singers,33400.0,25000
3413,Social media influencers,33400.0,25000
3413,"Actors, entertainers and presenters not elsewhere classified",33400.0,25000
3414,Choreographers,33400.0,28500
3414,Dance teachers (excludes educational establishments),33400.0,28500
3414,Dancers,33400.0,28500
3415,Composers and musical arrangers,37500.0,30100
3415,Music conductors,37500.0,30100
3415,Instrumentalists,37500.0,30100
3415,Musicians not elsewhere classified,37500.0,30100
3416,Art consultants,38100.0,28800
3416,Broadcasting and entertainment directors,38100.0,28800
3416,Broadcasting and entertainment editors,38100.0,28800
3416,Broadcasting and entertainment producers,38100.0,28800
3416,Studio and stage managers,38100.0,28800
3416,"Arts officers, producers and directors not elsewhere classified",38100.0,28800
3417,Camera operators and videographers,33400.0,25400
3417,Lighting designers,33400.0,25400
3417,Photographers,33400.0,25400
3417,Sound designers,33400.0,25400
3417,Sound engineers,33400.0,25400
3417,Theatre technicians (excludes hospitals),33400.0,25400
3417,"Photographers, audio-visual and broadcasting equipment operators not elsewhere classified",33400.0,25400
3421,Interior designers,35200.0,29600
3422,Clothing and fashion consultants,36500.0,29100
3422,Clothing and fashion designers,36500.0,29100
3422,Footwear designers,36500.0,29100
3422,Jewellery designers,36500.0,29100
3422,Textile designers,36500.0,29100
3422,"Clothing, fashion and accessories designers not elsewhere classified",36500.0,29100
3429,Industrial and product designers,39300.0,29800
3429,Packaging designers,39300.0,29800
3429,Performance make-up artists,39300.0,29800
3429,Set designers,39300.0,29800
3429,Visual merchandising managers and designers,39300.0,29800
3429,Design occupations not elsewhere classified,39300.0,29800
3433,Group fitness instructors and personal trainers,33400.0,25000
3433,Pilates teachers,33400.0,25000
3433,Yoga teachers,33400.0,25000
3433,Fitness and wellbeing instructors not elsewhere classified,33400.0,25000
3511,Airline pilots,80400.0,64100
3511,Air traffic controllers,80400.0,64100
3511,Flying instructors,80400.0,64100
3511,Helicopter pilots,80400.0,64100
3511,Aircraft pilots and air traffic controllers not elsewhere classified,80400.0,64100
3512,Ship and hovercraft captains and deck officers (excludes armed forces and fishing),58300.0,39100
3512,Marine engineers,58300.0,39100
3512,Ship and hovercraft officers not elsewhere classified,58300.0,39100
3520,Conveyancing professionals,33400.0,26400
3520,Cost lawyers,33400.0,26400
3520,Barrister’s and judge’s clerks,33400.0,26400
3520,Litigation officers,33400.0,26400
3520,Probate managers,33400.0,26400
3520,Will writers,33400.0,26400
3520,Legal associate professionals not elsewhere classified,33400.0,26400
3531,Commodity brokers and traders,52400.0,40000
3531,Insurance and mortgage brokers,52400.0,40000
3531,Shipbrokers,52400.0,40000
3531,Stockbrokers,52400.0,40000
3531,Brokers not elsewhere classified,52400.0,40000
3532,Insurance underwriters,36500.0,29800
3533,Accounting technicians,48700.0,32900
3533,Financial control technicians,48700.0,32900
3533,Financial and accounting technicians not elsewhere classified,48700.0,32900
3534,Claims managers,44700.0,34800
3534,Credit managers,44700.0,34800
3534,Investment managers,44700.0,34800
3534,Relationship managers,44700.0,34800
3534,Financial accounts managers not elsewhere classified,44700.0,34800
3541,Energy advisers and assessors,35300.0,28600
3541,Estimators,35300.0,28600
3541,Loss adjusters,35300.0,28600
3541,Valuers,35300.0,28600
3541,Vehicle damage assessors,35300.0,28600
3541,"Estimators, valuers and assessors not elsewhere classified",35300.0,28600
3542,Importers and exporters,35700.0,29800
3543,Project support officers,33900.0,28900
3544,Data analysts,34900.0,28600
3549,Business support officers,33400.0,25500
3549,Business systems analysts,33400.0,25500
3549,Contract administrators,33400.0,25500
3549,Clinical coders,33400.0,25500
3549,Clinical trials administrators,33400.0,25500
3549,Research coordinators,33400.0,25500
3549,Business associate professionals not elsewhere classified,33400.0,25500
3551,Buyers and procurement officers,35500.0,29300
3552,Business sales executives,36700.0,29300
3553,Merchandisers,33400.0,25200
3554,Advertising and marketing executives,33400.0,26300
3554,Fundraisers,33400.0,26300
3554,Market researchers (excludes interviewers),33400.0,26300
3554,Marketing associate professionals not elsewhere classified,33400.0,26300
3555,Estate agents,33400.0,25000
3555,Land and property auctioneers and valuers,33400.0,25000
3555,Letting agents,33400.0,25000
3555,Estate agents and auctioneers not elsewhere classified,33400.0,25000
3556,Brand managers,55200.0,40500
3556,Business development managers,55200.0,40500
3556,Sales account managers,55200.0,40500
3556,Sales accounts and business development managers not elsewhere classified,55200.0,40500
3557,Conference managers and organisers,33400.0,25000
3557,Exhibition managers and organisers,33400.0,25000
3557,Festival managers and organisers,33400.0,25000
3557,Hospitality managers,33400.0,25000
3557,Wedding planners and organisers,33400.0,25000
3557,Event managers and organisers not elsewhere classified,33400.0,25000
3560,Electoral services officers,39500.0,34000
3560,Health service administrators,39500.0,34000
3560,Job Centre officers,39500.0,34000
3560,Waste management officers,39500.0,34000
3560,Public services associate professionals not elsewhere classified,39500.0,34000
3571,Equality and diversity officers,33400.0,27100
3571,Human resources advisers,33400.0,27100
3571,Recruitment consultants,33400.0,27100
3571,Human resources and industrial relations officers not elsewhere classified,33400.0,27100
3572,Careers advisers and coaches,33400.0,26700
3572,Work placement officers,33400.0,26700
3572,Careers advisers and vocational guidance specialists not elsewhere classified,33400.0,26700
3573,Information technology trainers,40000.0,32100
3574,Business coaches,34500.0,28200
3574,Retail and store trainers,34500.0,28200
3574,Training assessors,34500.0,28200
3574,Other vocational and industrial trainers not elsewhere classified,34500.0,28200
3581,Animal health inspectors and officers,34400.0,30000
3581,Building control officers,34400.0,30000
3581,Driving examiners,34400.0,30000
3581,Health and safety inspectors,34400.0,30000
3581,Housing and planning inspectors,34400.0,30000
3581,Licensing officers,34400.0,30000
3581,Meat hygiene inspectors,34400.0,30000
3581,Nuclear safety inspectors,34400.0,30000
3581,Trading standards officers,34400.0,30000
3581,Traffic and vehicle examiners and inspectors,34400.0,30000
3581,Inspectors of standards and regulations not elsewhere classified,34400.0,30000
3582,Asbestos safety officers,42500.0,34800
3582,Fire safety managers and officers,42500.0,34800
3582,Occupational health and safety managers and officers,42500.0,34800
3582,Road traffic and transport safety officers,42500.0,34800
3582,Occupational hygienists,42500.0,34800
3582,Health and safety managers and officers not elsewhere classified,42500.0,34800
4111,National government benefits officers,33400.0,25900
4111,National government revenue officers,33400.0,25900
4111,Passport officers,33400.0,25900
4111,National government administrative occupations not elsewhere classified,33400.0,25900
4112,Local government benefits officers,33400.0,26000
